company_category_list,cluster
Information Technology|Technology,28
Cloud Data Services,28
Open Source|Software,47
Customer Service,4
Mobile|Social Network Media,49
Enterprise Software|Technology,24
Music|Social Media,41
Hospitality|Specialty Foods,34
Automotive|Electric Vehicles,13
Bio-Pharm|Medical|Pharmaceuticals,1
E-Commerce|Fashion|Lifestyle|Retail,25
Software|Video|Video Streaming,8
Email|Messaging,2
Mobile|Telecommunications|Wireless,15
Health and Wellness|Health Care|Hospitals|Medical,18
Android|Mobile,29
Health and Wellness|Health Care|Hospitals,18
Curated Web|Video,14
Advanced Materials,13
Venture Capital,5
E-Commerce|Internet,2
Web Tools,36
Clean Technology|Semiconductors,13
Software|Web Development,36
Industrial Automation,13
Telecommunications|Wireless,15
Bio-Pharm|Biotechnology|Pharmaceuticals,27
Mobile|Video,8
Telecommunications|Web Hosting,49
Finance|Mobile,38
Health Care|Medical Devices|Pharmaceuticals,1
Cyber Security,26
Printing,44
Enterprise Software|Security,24
Crowdfunding,0
Specialty Chemicals,34
Biotechnology|Health Diagnostics|Medical,1
Finance|Financial Services|Investment Management,38
Public Transportation|Transportation,48
Consumer Electronics|Electronics|Manufacturing,13
Curated Web|Web Tools,14
Games|Video Games,40
Finance|FinTech|Personal Finance,38
Robotics,27
Content|Software,36
Crowdfunding|Finance|Venture Capital,38
Analytics|Finance,38
Hardware + Software|Television,8
Social Network Media|Software,49
Cyber|Mobile Security|Security,26
Curated Web|Online Dating,14
Education|Tutoring,39
Biotechnology|Health Care|Medical Devices,18
Sales and Marketing|Software,7
Finance|Investment Management,38
Sales Automation,13
Business Services|Finance,38
Building Products,45
VoIP,2
Clean Technology|Water|Water Purification,32
Mobile|Technology,15
Bio-Pharm|Biotechnology|Medical,1
Apps|Internet|Mobile,29
Curated Web|Marketplaces,14
Curated Web|E-Commerce|Gift Card,14
Health and Wellness|Health Care|Health Care Information Technology|Mobile Health,18
Human Resources|Recruiting,3
Software|Virtualization,21
Cloud Management|Software,11
Consumer Goods|Manufacturing|Specialty Foods,45
Entertainment|Games|Music,30
Advertising|App Marketing|Mobile,19
Biotechnology|Life Sciences|Medical,1
Curated Web|Events,14
Internet|Technology,36
Networking|Software|Web Hosting,2
Health and Wellness|Health Care|Medical|Medical Devices,18
CRM|Software,22
Internet|Software|Technology,36
Mobile Payments|Payments,12
Enterprise Software|Information Technology|Services,24
Advertising|Mobile|Mobile Advertising,19
Human Resources|Recruiting|Staffing Firms,3
Public Relations|Telecommunications,5
Curated Web|Music,30
Biotechnology|Technology,27
Brewing|Craft Beer|Wine And Spirits,34
Biotechnology|Health and Wellness|Medical,18
Real Estate|Search,42
Messaging|Mobile|Social Media,49
Electronic Health Records|Software,28
Analytics|Biotechnology,27
Diagnostics,27
Data Centers,28
Messaging|Social Media,49
Biotechnology|Healthcare Services|Medical,1
Health and Wellness|Insurance,18
Online Dating|Social Media,49
Cloud Management|Enterprise Software,11
Hotels|Travel,20
Analytics|Business Intelligence,46
Hardware + Software|Health Care,31
Cloud Computing|Software,11
Curated Web|Health Care,17
Healthcare Services,31
Health and Wellness|Wearables,18
Databases|Enterprise Software,21
B2B|SaaS|Software,22
Security|Technology,26
Services|Telecommunications|Wireless,15
Information Security|Security,26
Internet Marketing|Software,36
Information Technology|Software,28
Games|Mobile Games|Social Games,40
Games|Mobile Games,40
Automotive|E-Commerce,0
Curated Web|Legal,14
Mobile|Security,26
Furniture,25
Commercial Real Estate,42
Curated Web|Health and Wellness,17
Analytics|SaaS|Software,22
E-Commerce|Online Shopping,6
Clean Technology|Energy,37
Defense,26
Big Data Analytics|Software,46
Advertising|Sales and Marketing,7
Home Decor,25
E-Commerce|Mobile,33
Databases,21
Small and Medium Businesses,10
Health Care|Manufacturing|Medical Devices,31
Home Automation,16
Curated Web|Photography,14
Mobile|Photography,44
Finance|Real Estate,42
Biotechnology|Hardware,27
Big Data|Enterprise Software,28
All Students|Education,39
Data Security|Software,28
Enterprise Software|Networking,21
Network Security|Security,26
Curated Web|Software,14
Education|Mobile,39
E-Commerce|Payments,12
Banking|Financial Services,5
Advertising|Digital Media,23
Marketplaces|Real Estate,42
Electronic Health Records|Health and Wellness|Health Care,18
Mobile|Shopping,6
Curated Web|Social Network Media,49
Consumer Electronics|Internet of Things,47
Consumer Goods|Manufacturing,45
News|Video,23
Training,39
Fitness|Health and Wellness|Technology,17
EdTech|Education|Technology,39
Curated Web|Messaging,14
Health and Wellness|Software,17
Governments,38
Advertising|Lead Generation,47
Collaboration|Enterprise Software,24
Clean Technology|Software,16
Apps|iPhone|Mobile,29
Coupons|E-Commerce,0
Healthcare Services|Life Sciences|Medical,18
Advertising|Loyalty Programs,19
Healthcare Services|Medical|Pharmaceuticals,1
Apps|Social Media,49
Fantasy Sports|Games|Sports,35
Fitness|Health and Wellness|Medical Devices,17
Health and Wellness|Health Care|Technology,18
Advertising|Auctions,19
